CID,BDATE,GEN
NASAW00011069,09-17-66,Female
NASAW00011070,10-02-60,Male
NASAW00011071,12-23-60,Female
NASAW00011072,08-05-60,Female
NASAW00011073,02-11-62,Female
NASAW00011074,02-25-62,Male
NASAW00011075,05-16-63,Female
NASAW00011076,01-10-63,Male
NASAW00011077,03-19-63,Female
NASAW00011078,01-06-85,Female
NASAW00011079,03-07-70,Male
NASAW00011080,01-13-65,Male
NASAW00011081,01-21-72,Female
NASAW00011082,02-01-72,Female
NASAW00011083,03-11-77,Female
NASAW00011084,03-12-63,Male
NASAW00011085,01-16-63,Female
NASAW00011086,06-22-63,Male
NASAW00011087,04-02-63,Female
NASAW00011088,05-25-63,Male
NASAW00011089,08-05-62,Female
NASAW00011090,12-13-68,Male
NASAW00011091,10-02-62,Male
NASAW00011092,11-02-72,Female
NASAW00011093,09-06-78,Female
NASAW00011094,09-29-67,Male
NASAW00011095,02-29-68,Male
NASAW00011096,02-07-68,Male
NASAW00011097,10-23-72,Male
NASAW00011098,10-29-66,Female
NASAW00011099,09-05-66,Male
NASAW00011100,03-15-66,Female
NASAW00011101,11-05-70,Female
NASAW00011102,10-19-70,Female
NASAW00011103,04-12-81,Female
NASAW00011104,03-08-75,Male
NASAW00011105,06-27-70,Female
NASAW00011106,03-11-70,Male
NASAW00011107,03-04-76,Female
NASAW00011108,01-10-69,Female
NASAW00011109,04-30-80,Male
NASAW00011110,12-04-67,Male
NASAW00011111,08-23-67,Female
NASAW00011112,03-08-68,Female
NASAW00011113,02-17-73,Male
NASAW00011114,11-25-67,Female
NASAW00011115,08-12-67,Male
NASAW00011116,04-02-79,Male
NASAW00011117,08-21-66,Female
NASAW00011118,12-31-62,Male
NASAW00011119,10-07-40,Male
NASAW00011120,02-06-42,Female
NASAW00011121,05-18-66,Male
NASAW00011122,09-30-65,Male
NASAW00011123,12-18-65,Male
NASAW00011124,07-23-68,Male
NASAW00011125,10-06-61,Female
NASAW00011126,10-05-54,Male
NASAW00011127,04-19-81,Female
NASAW00011128,06-03-81,Female
NASAW00011129,02-01-81,Female
NASAW00011130,07-05-85,Female
NASAW00011131,09-09-85,Female
NASAW00011132,04-25-86,Female
NASAW00011133,03-08-86,Female
NASAW00011134,02-22-57,Male
NASAW00011135,05-02-85,Male
NASAW00011136,04-24-84,Female
NASAW00011137,01-17-84,Female
NASAW00011138,03-14-84,Female
NASAW00011139,11-05-49,Female
NASAW00011140,08-11-82,Male
NASAW00011141,12-19-82,F
NASAW00011142,02-11-83,M
NASAW00011143,08-04-82,Male
NASAW00011144,03-08-85,Male
NASAW00011145,06-06-85,Female
NASAW00011146,02-22-45,Female
NASAW00011147,08-04-44,Male
NASAW00011148,02-13-47,Male
NASAW00011149,10-18-46,Male
NASAW00011150,09-12-46,Male
NASAW00011151,08-25-47,Female
NASAW00011152,07-09-81,Male
NASAW00011153,12-21-81,Female
NASAW00011154,02-18-82,Female
NASAW00011155,07-25-81,Male
NASAW00011156,08-06-81,Female
NASAW00011157,12-08-80,Female
NASAW00011158,04-06-81,Male
NASAW00011159,03-16-81,Female
NASAW00011160,07-08-79,Male
NASAW00011161,10-20-79,Female
NASAW00011162,09-02-79,Male
NASAW00011163,06-18-80,Male
NASAW00011164,11-02-79,Male
NASAW00011165,01-15-79,Female
NASAW00011166,10-22-77,Female
NASAW00011167,01-29-78,Female
NASAW00011168,11-12-73,Male
NASAW00011169,12-20-73,Male
NASAW00011170,08-04-73,Female
NASAW00011171,10-05-78,Male
NASAW00011172,05-20-73,Female
NASAW00011173,02-28-73,Female
NASAW00011174,01-09-73,Male
NASAW00011175,09-01-68,Male
NASAW00011176,01-21-79,Male
NASAW00011177,01-01-48,Male
NASAW00011178,08-20-54,Male
NASAW00011179,12-08-59,Female
NASAW00011180,07-01-48,Female
NASAW00011181,02-01-60,Male
NASAW00011182,02-22-50,Female
NASAW00011183,01-12-50,Female
NASAW00011184,11-13-55,Female
NASAW00011185,04-07-50,Female
NASAW00011186,11-18-49,Female
NASAW00011187,08-21-49,Female
NASAW00011188,03-06-50,Female
NASAW00011189,01-12-50,Male
NASAW00011190,12-20-49,Male
NASAW00011191,06-17-51,Female
NASAW00011192,03-13-51,Male
NASAW00011193,08-13-50,Male
NASAW00011194,12-08-50,Female
NASAW00011195,08-10-51,Female
NASAW00011196,12-05-51,Male
NASAW00011197,12-16-51,Female
NASAW00011198,05-25-52,Female
NASAW00011199,11-02-57,Female
NASAW00011200,05-21-53,Male
NASAW00011201,02-14-53,Female
NASAW00011202,08-22-58,Female
NASAW00011203,08-18-59,Male
NASAW00011204,11-29-53,Female
NASAW00011205,01-21-54,Female
NASAW00011206,03-24-54,Male
NASAW00011207,01-16-54,Female
NASAW00011208,08-03-53,Female
NASAW00011209,07-12-53,Female
NASAW00011210,12-06-53,Male
NASAW00011211,10-08-60,Female
NASAW00011212,05-05-55,Female
NASAW00011213,11-11-54,Female
NASAW00011214,05-07-55,Male
NASAW00011215,06-17-61,Female
NASAW00011216,11-17-55,Female
NASAW00011217,08-11-55,Female
NASAW00011218,09-07-61,Female
NASAW00011219,05-31-56,Male
NASAW00011220,02-19-61,Female
NASAW00011221,12-08-55,Male
NASAW00011222,02-14-56,Female
NASAW00011223,03-15-57,Female
NASAW00011224,03-05-57,Female
NASAW00011225,02-12-62,Female
NASAW00011226,09-23-62,Female
NASAW00011227,08-08-62,Male
NASAW00011228,10-16-56,Female
NASAW00011229,06-01-57,Male
NASAW00011230,09-30-56,Female
NASAW00011231,11-11-63,Male
NASAW00011232,03-27-58,Female
NASAW00011233,09-06-63,Male
NASAW00011234,05-19-58,Female
NASAW00011235,08-07-57,Male
NASAW00011236,09-02-57,Male
NASAW00011237,03-22-64,Male
NASAW00011238,02-07-64,Female
NASAW00011239,10-02-69,Female
NASAW00011240,06-09-64,Female
NASAW00011241,04-06-74,Female
NASAW00011242,05-11-63,Male
NASAW00011243,04-08-63,Female
NASAW00011244,11-22-68,Female
NASAW00011245,04-26-62,Male
NASAW00011246,04-08-62,Female
NASAW00011247,12-04-61,Female
NASAW00011248,03-22-66,Male
NASAW00011249,07-09-66,Female
NASAW00011250,03-08-66,Female
NASAW00011251,01-01-38,Male
NASAW00011252,12-05-37,Male
NASAW00011253,08-24-49,Male
NASAW00011254,08-31-38,Male
NASAW00011255,10-02-38,Male
NASAW00011256,03-20-39,Female
NASAW00011257,07-06-50,Female
NASAW00011258,12-26-38,Male
NASAW00011259,09-24-70,Female
NASAW00011260,04-08-76,Female
NASAW00011261,10-22-70,Female
NASAW00011262,05-01-75,Female
NASAW00011263,03-11-70,Female
NASAW00011264,12-15-69,Male
NASAW00011265,01-10-70,Female
NASAW00011266,11-02-69,Female
NASAW00011267,09-29-75,Male
NASAW00011268,10-31-69,Female
NASAW00011269,10-10-75,Male
NASAW00011270,05-01-75,Male
NASAW00011271,12-03-69,Female
NASAW00011272,05-10-62,Female
NASAW00011273,03-31-62,Male
NASAW00011274,10-10-39,Male
NASAW00011275,07-18-39,Female
NASAW00011276,09-15-74,Female
NASAW00011277,12-07-68,Male
NASAW00011278,02-16-69,Male
NASAW00011279,09-08-74,Female
NASAW00011280,02-17-69,Male
NASAW00011281,10-06-74,Female
NASAW00011282,07-16-67,Male
NASAW00011283,04-24-68,Male
NASAW00011284,09-24-67,Female
NASAW00011285,03-15-73,Male
NASAW00011286,08-31-67,Male
NASAW00011287,07-16-66,Male
NASAW00011288,03-12-78,Female
NASAW00011289,03-03-72,Female
NASAW00011290,08-14-72,Female
NASAW00011291,05-01-72,Female
NASAW00011292,05-05-67,Male
NASAW00011293,11-23-60,Male
NASAW00011294,03-02-61,Male
NASAW00011295,11-13-59,Female
NASAW00011296,04-05-41,Female
NASAW00011297,08-01-40,Male
NASAW00011298,08-30-40,Male
NASAW00011299,09-29-41,Male
NASAW00011300,08-31-65,Male
NASAW00011301,12-07-65,Male
NASAW00011302,12-09-71,Male
NASAW00011303,04-10-66,Female
NASAW00011304,03-14-71,Female
NASAW00011305,12-17-65,Male
NASAW00011306,12-20-65,Male
NASAW00011307,10-31-65,Male
NASAW00011308,09-02-59,Male
NASAW00011309,12-10-59,Female
NASAW00011310,07-05-64,Female
NASAW00011311,02-21-59,Female
NASAW00011312,10-01-58,Female
NASAW00011313,08-27-58,Male
NASAW00011314,06-16-70,Female
NASAW00011315,03-31-59,Female
NASAW00011316,05-17-59,Male
NASAW00011317,09-14-63,Female
NASAW00011318,04-25-58,Female
NASAW00011319,04-23-48,Female
NASAW00011320,12-24-42,Female
NASAW00011321,01-05-44,Male
NASAW00011322,09-12-43,Female
NASAW00011323,12-18-43,Male
NASAW00011324,11-10-44,Male
NASAW00011325,12-29-44,Male
NASAW00011326,12-23-44,Male
NASAW00011327,09-01-45,Male
NASAW00011328,06-30-45,Male
NASAW00011329,01-22-46,Male
NASAW00011330,11-10-45,Male
NASAW00011331,01-03-74,Female
NASAW00011332,04-02-68,Female
NASAW00011333,01-07-68,Female
NASAW00011334,09-19-66,Female
NASAW00011335,12-18-77,Female
NASAW00011336,03-08-73,Male
NASAW00011337,03-21-67,Male
NASAW00011338,08-06-72,Male
NASAW00011339,01-05-67,Male
NASAW00011340,04-03-47,Female
NASAW00011341,02-18-42,Male
NASAW00011342,03-07-73,Male
NASAW00011343,03-09-75,Male
NASAW00011344,01-21-63,Female
NASAW00011345,09-09-62,Female
NASAW00011346,05-18-66,Female
NASAW00011347,06-17-72,Male
NASAW00011348,03-21-61,Male
NASAW00011349,08-30-65,Female
NASAW00011350,07-14-42,Female
NASAW00011351,04-02-50,Female
NASAW00011352,09-04-45,Male
NASAW00011353,12-09-46,Female
NASAW00011354,08-23-47,Female
NASAW00011355,06-26-48,Male
NASAW00011356,11-24-85,Male
NASAW00011357,09-19-84,Male
NASAW00011358,05-10-84,Female
NASAW00011359,03-03-84,Male
NASAW00011360,01-30-84,Male
NASAW00011361,10-26-82,Female
NASAW00011362,05-11-83,Male
NASAW00011363,04-19-83,Male
NASAW00011364,03-22-85,Female
NASAW00011365,12-06-84,Female
NASAW00011366,04-23-85,Female
NASAW00011367,08-21-84,Male
NASAW00011368,05-24-84,Male
NASAW00011369,02-01-84,Female
NASAW00011370,09-29-83,Female
NASAW00011371,11-24-83,Female
NASAW00011372,11-12-83,Female
NASAW00011373,09-16-54,Female
NASAW00011374,12-25-48,Male
NASAW00011375,11-05-48,Male
NASAW00011376,12-07-48,Male
NASAW00011377,08-23-66,Male
NASAW00011378,11-19-65,Female
NASAW00011379,05-13-76,Male
NASAW00011380,08-29-64,Male
NASAW00011381,08-18-70,Female
NASAW00011382,07-15-74,Male
NASAW00011383,02-25-66,Female
NASAW00011384,10-13-71,Female
NASAW00011385,08-08-71,Male
NASAW00011386,11-02-71,Female
NASAW00011387,11-29-64,Female
NASAW00011388,01-20-65,Male
NASAW00011389,04-20-81,Male
NASAW00011390,04-17-76,Female
NASAW00011391,06-25-76,Female
NASAW00011392,02-03-81,Male
NASAW00011393,07-17-74,Male
NASAW00011394,04-22-75,Male
NASAW00011395,04-16-76,Female
NASAW00011396,04-04-75,Male
NASAW00011397,12-02-74,Female
NASAW00011398,03-09-75,Male
NASAW00011399,02-01-75,Female
NASAW00011400,04-15-80,Male
NASAW00011401,02-23-75,Female
NASAW00011402,05-20-75,Female
NASAW00011403,01-06-80,Female
NASAW00011404,06-30-57,Female
NASAW00011405,08-16-57,Female
NASAW00011406,12-31-57,Female
NASAW00011407,09-30-57,Male
NASAW00011408,05-10-64,Male
NASAW00011409,03-02-79,Female
NASAW00011410,02-22-42,Male
NASAW00011411,08-12-59,Male
NASAW00011412,10-07-59,Female
NASAW00011413,10-13-59,Female
NASAW00011414,09-15-59,Male
NASAW00011415,12-03-49,Male
NASAW00011416,09-16-50,Female
NASAW00011417,08-26-50,Female
NASAW00011418,08-09-50,Male
NASAW00011419,08-18-50,Male
NASAW00011420,01-09-52,Male
NASAW00011421,01-16-52,Female
NASAW00011422,02-29-52,Male
NASAW00011423,05-04-60,Female
NASAW00011424,12-03-64,Female
NASAW00011425,08-02-65,Female
NASAW00011426,04-01-59,Male
NASAW00011427,06-17-59,Female
NASAW00011428,02-19-59,Female
NASAW00011429,01-13-58,Male
NASAW00011430,09-21-57,Female
NASAW00011431,10-20-74,Male
NASAW00011432,03-10-57,Female
NASAW00011433,03-01-57,Male
NASAW00011434,05-02-62,Male
NASAW00011435,09-03-55,Female
NASAW00011436,03-17-56,Female
NASAW00011437,06-16-55,Male
NASAW00011438,04-13-55,Female
NASAW00011439,11-14-53,Female
NASAW00011440,03-26-53,Male
NASAW00011441,12-09-52,Female
NASAW00011442,05-13-53,Male
NASAW00011443,11-19-81,Female
NASAW00011444,10-26-81,Female
NASAW00011445,01-18-80,Female
NASAW00011446,02-09-80,Female
NASAW00011447,02-13-80,Female
NASAW00011448,10-25-80,Male
NASAW00011449,08-01-80,Male
NASAW00011450,05-11-81,Male
NASAW00011451,05-08-80,Male
NASAW00011452,05-05-79,Female
NASAW00011453,08-17-84,Male
NASAW00011454,10-20-79,Female
NASAW00011455,10-19-79,Male
NASAW00011456,01-05-80,Male
NASAW00011457,11-18-78,Female
NASAW00011458,10-03-78,Female
NASAW00011459,04-12-78,Female
NASAW00011460,10-04-83,Male
NASAW00011461,09-22-77,Male
NASAW00011462,07-18-77,Female
NASAW00011463,09-09-77,Female
NASAW00011464,05-15-77,Male
NASAW00011465,08-18-76,Male
NASAW00011466,01-30-77,Male
NASAW00011467,04-06-75,Male
NASAW00011468,12-15-80,Female
NASAW00011469,10-14-78,Male
NASAW00011470,03-25-79,Male
NASAW00011471,03-25-79,Female
NASAW00011472,09-30-68,Male
NASAW00011473,01-30-86,Female
NASAW00011474,08-21-85,Male
NASAW00011475,04-07-84,Male
NASAW00011476,05-16-80,Female
NASAW00011477,06-21-84,Male
NASAW00011478,02-22-84,Male
NASAW00011479,10-20-78,Male
NASAW00011480,03-07-84,Female
NASAW00011481,11-20-78,Female
NASAW00011482,01-16-78,Female
NASAW00011483,05-19-83,Male
NASAW00011484,03-03-83,Male
NASAW00011485,02-04-78,Male
NASAW00011486,05-21-82,Female
NASAW00011487,01-05-77,Female
NASAW00011488,03-20-77,Male
NASAW00011489,09-03-76,Female
NASAW00011490,07-05-76,Male
NASAW00011491,04-02-82,Male
NASAW00011492,11-15-82,Male
NASAW00011493,05-31-76,Female
NASAW00011494,01-25-76,Male
NASAW00011495,03-03-77,Male
NASAW00011496,04-15-76,Male
NASAW00011497,11-22-81,Female
NASAW00011498,07-15-79,Male
NASAW00011499,05-13-80,Male
NASAW00011500,03-17-80,Female
NASAW00011501,01-03-81,Female
NASAW00011502,09-03-80,Male
NASAW00011503,04-11-36,Male
NASAW00011504,10-17-36,Female
NASAW00011505,01-04-72,Female
NASAW00011506,11-14-71,Male
NASAW00011507,05-19-72,Female
NASAW00011508,01-04-72,Female
NASAW00011509,07-22-64,Female
NASAW00011510,01-10-59,Male
NASAW00011511,06-10-64,Male
NASAW00011512,08-05-76,Female
NASAW00011513,09-23-65,Female
NASAW00011514,04-16-65,Male
NASAW00011515,08-25-59,Female
NASAW00011516,10-13-76,Female
NASAW00011517,12-18-59,Female
NASAW00011518,11-06-60,Male
NASAW00011519,09-13-60,Male
NASAW00011520,10-08-60,Female
NASAW00011521,12-01-77,Female
NASAW00011522,06-17-72,Male
NASAW00011523,02-07-62,Male
NASAW00011524,07-22-61,Female
NASAW00011525,07-08-61,Female
NASAW00011526,01-30-73,Female
NASAW00011527,12-02-61,Female
NASAW00011528,08-15-68,Female
NASAW00011529,05-16-63,Male
NASAW00011530,01-23-63,Male
NASAW00011531,07-07-62,Female
NASAW00011532,08-26-62,Female
NASAW00011533,07-17-68,Female
NASAW00011534,05-12-64,Male
NASAW00011535,12-31-63,Male
NASAW00011536,04-13-69,Male
NASAW00011537,09-21-63,Male
NASAW00011538,02-24-65,Female
NASAW00011539,08-18-70,Male
NASAW00011540,01-24-70,Male
NASAW00011541,10-09-64,Male
NASAW00011542,09-07-79,Male
NASAW00011543,08-16-73,Female
NASAW00011544,05-04-79,Male
NASAW00011545,09-22-73,Male
NASAW00011546,09-11-73,Female
NASAW00011547,03-05-79,Female
NASAW00011548,04-11-74,Male
NASAW00011549,09-03-79,Female
NASAW00011550,08-05-79,Female
NASAW00011551,05-21-50,Male
NASAW00011552,11-23-72,Male
NASAW00011553,03-08-73,Female
NASAW00011554,03-27-32,Female
NASAW00011555,07-04-37,Female
NASAW00011556,11-10-72,Male
NASAW00011557,07-14-72,Female
NASAW00011558,02-18-73,Male
NASAW00011559,12-12-78,Male
NASAW00011560,08-09-78,Female
NASAW00011561,01-21-72,Female
NASAW00011562,10-17-38,Male
NASAW00011563,08-01-71,Male
NASAW00011564,01-09-72,Male
NASAW00011565,12-30-71,Male
NASAW00011566,03-01-73,Female
NASAW00011567,09-19-78,Female
NASAW00011568,04-21-72,Female
NASAW00011569,05-06-77,Male
NASAW00011570,07-22-71,Female
NASAW00011571,11-15-71,Male
NASAW00011572,03-11-77,Male
NASAW00011573,11-11-76,Female
NASAW00011574,01-14-71,Female
NASAW00011575,10-19-70,Male
NASAW00011576,08-10-70,Male
NASAW00011577,04-21-71,Female
NASAW00011578,05-08-70,Female
NASAW00011579,02-13-81,Male
NASAW00011580,03-12-39,Male
NASAW00011581,03-03-45,Female
NASAW00011582,04-09-74,Female
NASAW00011583,03-26-71,Female
NASAW00011584,05-22-71,Male
NASAW00011585,03-04-76,Female
NASAW00011586,06-14-71,Male
NASAW00011587,10-18-75,Male
NASAW00011588,01-11-70,Female
NASAW00011589,05-01-75,Female
NASAW00011590,04-12-80,Female
NASAW00011591,11-12-68,Female
NASAW00011592,03-03-84,Male
NASAW00011593,09-22-82,Male
NASAW00011594,05-03-85,Male
NASAW00011595,12-29-84,Male
NASAW00011596,03-02-69,Male
NASAW00011597,08-06-83,Female
NASAW00011598,12-30-83,Female
NASAW00011599,03-16-83,Female
NASAW00011600,10-05-82,Female
NASAW00011601,02-18-83,Male
NASAW00011602,10-11-82,Male
NASAW00011603,08-06-82,Male
NASAW00011604,12-01-82,Male
NASAW00011605,05-20-82,Female
NASAW00011606,01-30-86,Female
NASAW00011607,05-05-86,Male
NASAW00011608,09-01-81,Male
NASAW00011609,12-24-81,Male
NASAW00011610,10-20-80,Male
NASAW00011611,02-23-85,Male
NASAW00011612,10-07-85,Male
NASAW00011613,05-02-81,Female
NASAW00011614,02-13-81,Female
NASAW00011615,05-20-81,Male
NASAW00011616,09-05-80,Female
NASAW00011617,10-01-64,Male
NASAW00011618,10-21-64,Male
NASAW00011619,10-29-78,Female
NASAW00011620,10-18-78,Female
NASAW00011621,08-19-78,Female
NASAW00011622,06-16-79,Male
NASAW00011623,12-25-78,Female
NASAW00011624,03-19-84,Male
NASAW00011625,07-19-78,Male
NASAW00011626,12-12-78,Female
NASAW00011627,08-27-78,Male
NASAW00011628,11-14-77,Female
NASAW00011629,08-07-76,Male
NASAW00011630,06-23-77,Female
NASAW00011631,08-12-76,Male
NASAW00011632,05-02-82,Female
NASAW00011633,11-23-77,Male
NASAW00011634,12-10-77,Male
NASAW00011635,08-11-83,Male
NASAW00011636,06-21-78,Female
NASAW00011637,08-11-83,Female
NASAW00011638,09-09-77,Male
NASAW00011639,06-22-78,Female
NASAW00011640,10-31-75,Female
NASAW00011641,02-09-76,Male
NASAW00011642,06-24-76,Female
NASAW00011643,01-24-76,Female
NASAW00011644,04-06-75,Male
NASAW00011645,04-18-75,Female
NASAW00011646,03-15-80,Female
NASAW00011647,03-22-75,Male
NASAW00011648,04-12-80,Male
NASAW00011649,01-23-80,Male
NASAW00011650,01-23-75,Male
NASAW00011651,12-13-82,Female
NASAW00011652,05-01-82,Male
NASAW00011653,06-04-82,Female
NASAW00011654,03-18-77,Female
NASAW00011655,03-28-82,Female
NASAW00011656,03-19-77,Female
NASAW00011657,10-31-76,Female
NASAW00011658,08-03-85,Male
NASAW00011659,10-20-74,Male
NASAW00011660,01-19-80,Female
NASAW00011661,01-03-81,Male
NASAW00011662,01-01-76,Male
NASAW00011663,08-25-75,Male
NASAW00011664,08-09-75,Female
NASAW00011665,06-11-76,Female
NASAW00011666,12-13-81,Male
NASAW00011667,12-18-72,Male
NASAW00011668,03-02-84,Female
NASAW00011669,10-17-78,Female
NASAW00011670,04-15-73,Female
NASAW00011671,11-15-71,Female
NASAW00011672,03-20-72,Male
NASAW00011673,02-03-77,Female
NASAW00011674,02-15-72,Female
NASAW00011675,01-29-77,Male
NASAW00011676,08-13-71,Male
NASAW00011677,10-10-80,Male
NASAW00011678,07-28-74,Male
NASAW00011679,11-05-74,Male
NASAW00011680,03-04-75,Female
NASAW00011681,02-04-75,Female
NASAW00011682,03-12-80,Female
NASAW00011683,07-05-74,Male
NASAW00011684,03-31-71,Male
NASAW00011685,08-07-70,Male
NASAW00011686,04-09-76,Male
NASAW00011687,07-09-76,Male
NASAW00011688,12-21-76,Female
NASAW00011689,03-06-71,Male
NASAW00011690,01-10-76,Female
NASAW00011691,12-30-74,Female
NASAW00011692,12-17-69,Male
NASAW00011693,09-21-75,Female
NASAW00011694,09-21-69,Male
NASAW00011695,07-10-69,Male
NASAW00011696,04-02-75,Female
NASAW00011697,06-21-75,Male
NASAW00011698,11-22-75,Male
NASAW00011699,09-12-68,Male
NASAW00011700,05-24-69,Male
NASAW00011701,08-16-85,Male
NASAW00011702,10-13-74,Female
NASAW00011703,12-22-73,Female
NASAW00011704,11-29-73,Male
NASAW00011705,05-18-79,Female
NASAW00011706,08-13-68,Male
NASAW00011707,06-20-69,Female
NASAW00011708,09-15-74,Female
NASAW00011709,08-18-68,Female
NASAW00011710,09-17-67,Female
NASAW00011711,12-04-73,Male
NASAW00011712,05-02-68,Female
NASAW00011713,09-17-67,Male
NASAW00011714,04-16-68,Female
NASAW00011715,03-20-68,Female
NASAW00011716,04-20-67,Male
NASAW00011717,08-29-72,Male
NASAW00011718,11-10-72,Female
NASAW00011719,05-05-71,Male
NASAW00011720,09-23-65,Female
NASAW00011721,01-18-71,Female
NASAW00011722,12-30-65,Male
NASAW00011723,02-17-73,Male
NASAW00011724,10-12-72,Male
NASAW00011725,03-16-73,Male
NASAW00011726,01-13-73,Male
NASAW00011727,01-05-73,Male
NASAW00011728,07-06-65,Male
NASAW00011729,05-03-71,Male
NASAW00011730,04-01-66,Female
NASAW00011731,02-16-66,Female
NASAW00011732,02-04-70,Male
NASAW00011733,07-23-70,Female
NASAW00011734,08-21-70,Male
NASAW00011735,07-21-64,Female
NASAW00011736,09-21-70,Male
NASAW00011737,02-04-70,Female
NASAW00011738,10-05-70,Male
NASAW00011739,11-10-64,Male
NASAW00011740,10-21-64,Female
NASAW00011741,01-22-65,Female
NASAW00011742,05-01-64,Male
NASAW00011743,09-09-74,Male
NASAW00011744,03-06-64,Female
NASAW00011745,04-11-64,Female
NASAW00011746,05-30-64,Male
NASAW00011747,08-09-63,Female
NASAW00011748,01-15-64,Male
NASAW00011749,09-09-80,Male
NASAW00011750,09-17-84,Female
NASAW00011751,01-14-76,Female
NASAW00011752,05-03-81,Female
NASAW00011753,09-15-75,Female
NASAW00011754,01-05-76,Female
NASAW00011755,11-12-73,Male
NASAW00011756,03-13-74,Female
NASAW00011757,05-11-79,Male
NASAW00011758,12-19-79,Male
NASAW00011759,11-18-80,Female
NASAW00011760,04-25-73,Female
NASAW00011761,10-16-72,Male
NASAW00011762,02-17-84,Male
NASAW00011763,08-10-72,Male
NASAW00011764,01-13-73,Female
NASAW00011765,04-06-83,Male
NASAW00011766,01-01-72,Female
NASAW00011767,05-20-77,Female
NASAW00011768,04-03-83,Male
NASAW00011769,02-14-79,Female
NASAW00011770,02-20-79,Male
NASAW00011771,04-07-79,Male
NASAW00011772,01-21-84,Male
NASAW00011773,01-03-79,Male
NASAW00011774,10-10-78,Female
NASAW00011775,11-22-50,Female
NASAW00011776,12-31-78,Male
NASAW00011777,01-21-78,Female
NASAW00011778,09-17-76,Female
NASAW00011779,01-15-77,Female
NASAW00011780,05-19-77,Female
NASAW00011781,09-06-76,Male
NASAW00011782,03-13-82,Female
NASAW00011783,11-13-82,Female
NASAW00011784,06-18-78,Male
NASAW00011785,02-21-83,Male
NASAW00011786,03-13-78,Male
NASAW00011787,03-05-78,Male
NASAW00011788,08-18-77,Female
NASAW00011789,02-16-81,Female
NASAW00011790,05-17-81,Male
NASAW00011791,10-19-75,Male
NASAW00011792,11-24-74,Female
NASAW00011793,03-16-80,Male
NASAW00011794,05-01-75,Female
NASAW00011795,08-15-74,Female
NASAW00011796,08-03-85,Female
NASAW00011797,03-03-80,Male
NASAW00011798,08-12-74,Male
NASAW00011799,09-09-80,Male
NASAW00011800,05-07-75,Female
NASAW00011801,03-16-75,Male
NASAW00011802,02-05-77,Female
NASAW00011803,03-11-77,Female
NASAW00011804,10-15-76,Female
NASAW00011805,09-08-76,Male
NASAW00011806,08-06-82,Female
NASAW00011807,03-03-77,Male
NASAW00011808,10-10-74,Male
NASAW00011809,07-01-73,Male
NASAW00011810,01-03-78,Male
NASAW00011811,06-11-78,Female
NASAW00011812,03-21-73,Male
NASAW00011813,05-11-73,Female
NASAW00011814,01-05-76,Male
NASAW00011815,04-20-81,Female
NASAW00011816,10-19-81,Male
NASAW00011817,11-23-81,Female
NASAW00011818,10-20-75,Male
NASAW00011819,04-08-73,Male
NASAW00011820,08-22-77,Female
NASAW00011821,10-13-71,Male
